id,query,results
QID52,rocks,"['Rock (geology)', 'On the Rocks', 'Liancourt Rocks', 'Ibiza Rocks', 'Red Rocks Amphitheatre', 'Hopewell Rocks', 'Virgin of the Rocks', 'Pop Rocks', 'Rocks Off', 'The Hand That Rocks the Cradle']"
QID53,chemical,"['Chemical substance', 'Chemical formula', 'Chemical reaction', 'Chemistry', 'Chemical element', 'Chemical engineering', 'Chemical compound', 'Chemical nomenclature', 'My Chemical Romance', 'Chemical property']"
QID54,smurf,"['The Smurfs', 'List of The Smurfs characters', 'Papa Smurf', 'The Smurfs (1981 TV series)', 'The Smurfs (film)', 'Smurfs: The Lost Village', 'The Smurfs 2', 'The Smurfs (2021 TV series)', 'Smurf (disambiguation)', 'Smurf attack']"
QID55,axis,"['Axis', 'Axis powers', 'Semi-major and semi-minor axes', 'Axis Bank', 'Optical axis', 'Axis mundi', 'Axis of evil', 'Principal axis', 'AXIS (comics)', 'Axis (anatomy)']"
QID56,cellular,"['Cellular', 'Cellular network', 'Mobile phone', 'Cellular automaton', 'Cellular (film)', 'Cellular respiration', 'Consumer Cellular', 'Cellular architecture', 'Idea Cellular', 'Cellular Jail']"
QID57,align=,"['Align', 'Align Technology', 'Stars Align', 'Non-Aligned Movement', 'Aligner', 'Clear aligners', 'Align Aerospace', 'Typographic alignment', 'Align-m', 'Re-Align']"
QID58,polish,"['Polish', 'Polish language', 'Polish–Lithuanian Commonwealth', 'Polish–Soviet War', 'Invasion of Poland', 'Polishing', 'Polish brothers', 'List of armed conflicts involving Poland against Russia', 'Nail polish', 'Poland']"
QID59,sprint,"['Sprint', 'Sprint (running)', 'Sprint Corporation', '100 metres', 'Sprint car racing', '200 metres', 'NASCAR Cup Series', 'Sprinter', 'Canoe sprint', 'Scrum sprint']"
QID60,category,"['Category', 'Category of small categories', 'Category theory', 'IUCN protected area categories', 'Software categories', 'Pregnancy category', 'Category (mathematics)', 'Saffir–Simpson scale', 'UEFA stadium categories', 'Category of modules']"
QID61,warsaw,"['Warsaw', 'Warsaw Pact', 'Warsaw Uprising', 'Warsaw Ghetto Uprising', 'Battle of Warsaw', 'Warsaw (album)', 'Warsaw Ghetto', 'Warsaw, Indiana', 'Poland', 'Warsaw Convention']"
QID62,"|73,180","['Baldwin County, Alabama', 'RD-180', 'Antonov An-180', 'Burlington, Ontario', 'Gliese 180', '2002 Miami Dolphins season', '2002 Buffalo Bills season', '1984 Navy Midshipmen football team', '180 (number)', '1984 Army Cadets football team']"
QID63,wilson,"['Wilson', 'Woodrow Wilson', 'Rebel Wilson', 'Brian Wilson', 'Owen Wilson', 'Harold Wilson', 'Justine Musk', 'Rainn Wilson', 'Russell Wilson', 'S. S. Wilson']"
QID64,align=left|r.c.d,"['3D projection', 'Spherical coordinate system', '3D rotation group', 'A-weighting', 'Distribution (mathematics)', 'K-d tree', 'Fourier transform', 'Lorentz transformation', 'Fourier series', 'Adjoint functors']"
QID65,sc,"['SC', '.sc', 'SC Freiburg', 'Lexus SC', 'Nashville SC', 'Doctor of Science', 'SC Heerenveen', 'Master of Science', 'Nandikotkur (Assembly constituency)', 'SC radar']"
QID66,book,"['Book', 'Domesday Book', 'The Book of the Book', 'Comic book', 'Educated (book)', 'Book of Revelation', 'Book of Genesis', 'Font Book', 'ISBN', 'Book town']"
QID67,align=center|–3,"['CSS Flexible Box Layout', 'Tobias Krick', 'Clear aligners', 'Data center', '3', 'Center of mass', 'Naval Aviation Warfighting Development Center', 'Getty Center', 'Bahrain World Trade Center', 'Sagittarius A*']"
QID68,street,"['Street', 'List of former Coronation Street characters', 'Coronation Street', 'Wolf of Wall Street', 'List of Fear Street books', 'TheStreet', 'State Street Corporation', 'The Street', 'Greenwich Village', 'List of Street Fighter characters']"
QID69,albion,"['Albion', 'Brighton & Hove Albion F.C.', 'West Bromwich Albion F.C.', 'Perfidious Albion', 'Albion (disambiguation)', 'Burton Albion F.C.', 'Albion, Indiana', 'Albion College', '15760 Albion', '2021–22 Brighton & Hove Albion F.C. season']"
QID70,towers,"['Tower', 'Petronas Towers', 'Alton Towers', 'Watts Towers', 'Fawlty Towers', 'Etihad Towers', 'Twin Towers', 'Constance Towers', 'World Trade Center (1973–2001)', 'Executive Towers']"
QID71,luke,"['Luke', 'Luke Macfarlane', 'Luke Hemsworth', 'Luke Evans', 'Luke Foster', 'Luke Skywalker', 'Luke the Evangelist', 'Lüke', 'Luke Wilson', 'Luke Combs']"
QID72,czech,"['Czech', 'Czech Republic', 'Czechs', 'Czech language', 'Prague', 'Bohemia', 'Czech koruna', 'Czech hedgehog', 'Czechoslovakia', 'Czech Cup']"
QID73,recognition,"['Recognition', 'Pattern recognition', 'List of states with limited recognition', 'Facial recognition system', 'Speech recognition', 'Optical character recognition', 'Handwriting recognition', 'Diplomatic recognition', 'Facial recognition', 'The Recognitions']"
QID74,|,"['Vertical bar', 'Dental click']"
QID75,dnf,"['DNF', 'DNF (software)', 'Did not finish', 'Disjunctive normal form', 'Yum (software)', 'Dungeon Fighter Online', 'Droits des Non-Fumeurs', 'Fedora Linux', 'Dudy Noble Field, Polk–DeMent Stadium', '2022 Formula One World Championship']"
QID76,professor,"['Professor', 'Associate professor', 'Emeritus', 'Professor Green', 'Professor X', 'Assistant professor', 'Professor Moriarty', 'Regius Professor', 'Professors in the United States', 'Professor (disambiguation)']"
QID77,==external,"['External', 'Externality', 'External ballistics', 'External fixation', 'External auditor', 'External combustion engine', 'External sector', 'External risk', 'External sorting', 'Externalism']"
QID78,nottingham,"['Nottingham', 'Nottingham Forest F.C.', 'University of Nottingham', 'Nottingham, Maryland', 'Nottinghamshire', 'Nottingham, Pennsylvania', 'Nottingham Open', 'Not in Nottingham', 'Sheriff of Nottingham', 'Demography of Nottingham']"
QID79,bird,"['Bird', 'Bird (disambiguation)', 'Bird & Bird', 'Larry Bird', 'Bird flight', 'BirdLife International', 'Passerine', 'Bird of prey', 'Ornithology', 'Bird of paradise']"
QID80,engineer,"['Engineer', 'Audio engineer', 'Software engineering', 'United States Army Corps of Engineers', 'Royal Engineers', 'Engineer (disambiguation)', 'Lists of engineers', 'Civil engineer', 'Mechanical engineering', 'Customer engineer']"
QID81,domain,"['Domain', 'Public domain', 'Domain name', 'Top-level domain', 'Domain model', 'Domain Name System', 'Domain name registrar', 'Domain (biology)', 'Domain-specific language', 'Domain knowledge']"
QID82,quarter,"['Quarter', 'Quarter on quarter', 'No quarter', 'French Quarter', 'Quarter Pounder', 'Quarter acre', 'Quarter note', 'Quarter glass', 'Quarter mile', 'The Quarter at Tropicana']"
QID83,contest,"['Contest', 'CONTEST', 'Eurovision Song Contest', 'List of countries in the Eurovision Song Contest', 'List of Eurovision Song Contest winners', 'Spain in the Eurovision Song Contest', 'Italy in the Eurovision Song Contest', 'United Kingdom in the Eurovision Song Contest', 'The Con Test', 'Eurovision Song Contest 2023']"
QID84,re-equipped,"['SKS', 'SEPECAT Jaguar', 'PAC/CAC JF-17 Thunder', 'Gloster Javelin', 'Fiat G.55 Centauro', '503rd Heavy Panzer Battalion', 'X Force', 'Hadfield-Spears Ambulance Unit', 'Blackburn Buccaneer', 'Mil Mi-8']"
QID85,==chart,"['Chart', 'Record chart', 'ARIA Charts', 'Bar chart', 'Pie chart', 'Billboard Hot 100', 'Radar chart', 'Chartism', 'UK Singles Chart', 'Dutch Charts']"
QID86,john,"['John', 'John F. Kennedy', 'Elton John', 'John the Baptist', 'John Krasinski', 'John Wayne Gacy', 'John Cena', 'John Lennon', 'John Wayne', 'John Kerry']"
QID87,hogan,"['Hogan', 'Hulk Hogan', 'Brooke Hogan', 'Paul Hogan', 'Larry Hogan', 'Ben Hogan', 'Nick Hogan', 'Mike Hogan', 'Linda Hogan (TV personality)', ""Hogan's Heroes""]"
QID88,|-,[]
QID89,|,"['Vertical bar', 'Dental click']"
QID90,==,['Relational operator']
QID91,comedy,"['Comedy', 'Comedy film', 'Comedy drama', 'Romantic comedy', 'Black comedy', 'Comedy!', 'The Comedy', 'Divine Comedy', 'Television comedy', 'Comedy horror']"
QID92,–,"['Dash', 'Hyphen', 'Plus and minus signs', 'Canadian Aboriginal syllabics', 'Unicode subscripts and superscripts', 'Hyphen-minus', 'Hebrew punctuation', 'Double hyphen', 'Wave dash']"
QID93,mere,"['Mere', 'Mere Hamdam Mere Dost', 'Martin Mere', 'Sainte-Mère-Église', 'Mere Humdum Mere Dost', 'Meric', 'Méré', 'Ma Mère', 'Mered', 'Mere Christianity']"
QID94,nathan,"['Nathan', 'Nathan Fillion', 'Nathan Fielder', 'Nathan Barnatt', 'Nathan Lane', 'Nathaniel Moore (disambiguation)', 'Nathan Kress', 'Nathan Redmond', 'Book of Nathan the Prophet', 'Nathan Aké']"
QID95,watley,"['Jody Watley', 'Watley', 'Midori (actress)', 'Jody Watley discography', 'Jody Watley (album)', 'Natasha Watley', 'Larger than Life (Jody Watley album)', 'Shalamar', 'Thiago Moisés', 'Ecstasy']"
QID96,political,"['Politics', 'Political science', 'Political party', 'Political spectrum', 'List of political parties in Australia', 'Ireland', 'Political correctness', 'List of political ideologies', 'Politics of the United States', 'Political corruption']"
QID97,automobile,"['Car', 'Saab Automobile', 'Automotive industry', 'GMC (automobile)', 'Crossover (automobile)', 'Sedan (automobile)', 'History of the automobile', ""Fédération Internationale de l'Automobile"", 'Auto racing', 'Overland Automobile']"
QID98,institute,"['Institute', 'The Institute', 'Educational institution', 'Massachusetts Institute of Technology', 'American Film Institute', 'Research institute', 'National Institutes of Health', 'MICA (institute)', 'Georgia Tech', 'Virginia Tech']"
QID99,|,"['Vertical bar', 'Dental click']"
QID100,qualifier====,"['Monday qualifier', '2023 World Baseball Classic qualification', ""2022 ICC Women's T20 World Cup Qualifier"", ""2022 ICC Men's T20 World Cup Global Qualifier B"", 'Field hockey at the 2022 Asian Games', 'Key Code Qualifier', ""2022 ICC Men's T20 World Cup Global Qualifier A"", '2022 Asia Cup Qualification', ""2022 ICC Men's T20 World Cup"", 'Pole position']"
QID101,symmetric,"['Symmetry', 'Symmetric-key algorithm', 'Symmetric matrix', 'Symmetric group', 'Symmetric multiprocessing', 'Symmetric equilibrium', 'Skew-symmetric matrix', 'Symmetric difference', 'Symmetric in Design', 'Symmetric form']"
QID102,berlin,"['Berlin', 'Berlin, Berlin', 'Berlin Wall', 'Berlin, Berlin (film)', 'East Berlin', 'West Berlin', 'Berlin in Berlin', 'Humboldt University of Berlin', 'Berlin Blockade', 'Hotel Berlin, Berlin']"
QID103,gp,"['GP', '.gp', 'Brawn GP', 'GP-25', 'Prüstel GP', 'Grand Prix motorcycle racing', 'GP Investments', 'GP (album)', 'Chocobo GP', 'EMD GP9']"
QID104,georgia,"['Georgia', 'Georgia (country)', 'Georgia (U.S. state)', 'Georgians', 'Georgia, Georgia', 'List of wars involving Georgia (country)', 'Georgia Tech', 'Georgia Guidestones', 'Atlanta', 'Georgian language']"
QID105,association,"['Association', 'Professional Golfers Association', 'National Basketball Association', 'On Leong Chinese Merchants Association', 'The Football Association', 'Association football', 'North Central Association of Colleges and Schools', 'Nasdaq', 'The Association', 'National Christian College Athletic Association']"
QID106,washington,"['Washington', 'Washington (state)', 'Washington, D.C.', 'George Washington', 'Washington Commanders', 'The Washington Post', 'Denzel Washington', 'List of Washington Commanders starting quarterbacks', 'Washington Capitals', 'Washington Wizards']"
QID107,château,"['Château', 'Palace of Versailles', 'Château de Chambord', 'Château de la Motte-Husson', 'Honky Château', 'Château Frontenac', 'Escape to the Chateau', 'Château de Breteuil', 'Château de Chenonceau', 'Château de la Muette']"
QID108,aeon,"['Aeon', 'Æon Flux', 'Æon Flux (film)', 'Aeon (disambiguation)', 'AEON (company)', 'Aeon (Thelema)', 'Aeon (Gnosticism)', 'Kalpa (aeon)', 'Aeon (magazine)', 'Aeon Display and Security System']"
QID109,1990-07-16,"['1990 Luzon earthquake', 'Schwarzlose machine gun', 'Super VGA', 'TriStar Pictures', '1990', 'Mattson Tomlin', 'Working Girl (TV series)', 'May 16', 'Universal Television', 'TriStar Television']"
QID110,public,"['Public', 'Public company', 'Public domain', 'Public transport', 'Public broadcasting', 'Public relations', 'Public health', 'Publics', 'Public space', 'Public university']"
QID111,radnor-winston,"['Radnor-Winston, Baltimore', 'List of Baltimore neighborhoods', 'Pimlico, Baltimore', 'Maryland Legislative District 43', 'Inner Harbor', ""Fell's Point, Baltimore"", 'Sandtown-Winchester, Baltimore', 'Roland Park, Baltimore', 'Gwynns Falls/Leakin Park', 'Park Heights, Baltimore']"
QID112,intimate,"['Intimate', 'Intimate relationship', 'Intimate Portrait', 'Intimate part', 'Domestic violence', 'Investigating Sex', 'Intimate partner violence', 'Intimating', 'Intimater', 'Intimate Stranger']"
QID113,|october,"['October', 'October Revolution', 'October Sky', 'October 1', 'October 29', 'Yom Kippur War', 'October Crisis', 'October 22', 'The Missiles of October', 'October 16']"
QID114,fineartviews,"['Art blog', 'Brian Sherwin', 'Saul Ostrow', 'Hashtag Class', 'Richard Schmid', 'Coagula Art Journal', 'Myartspace']"
QID115,terry,"['Terry', 'Terrycloth', 'Terry Pratchett', 'John Terry', 'Terry Crews', 'Terry Nichols', 'Hulk Hogan', 'Terry Gilliam', 'Terry Melcher', 'Terry Bradshaw']"
QID116,various,"['Various', 'Various Failures', 'Various Positions', 'Various authors', 'Elizabeth Taylor filmography', 'Compilation album', 'The Various', 'Various Daylife', 'Various (band)', 'Guoyu (book)']"
QID117,category,"['Category', 'Category of small categories', 'Category theory', 'IUCN protected area categories', 'Software categories', 'Pregnancy category', 'Category (mathematics)', 'Saffir–Simpson scale', 'UEFA stadium categories', 'Category of modules']"
QID118,new,"['New', 'New Zealand', 'New York City', 'New York (state)', 'Buffalo, New York', 'The New York Times', 'List of United States representatives from New York', 'New Jersey', 'New York', 'New York Yankees']"
QID119,beer,"['Beer', 'XXXX (beer)', 'Beer, Beer, Beer', 'Madison Beer', 'Root beer', 'Low-alcohol beer', 'Host protected area', 'Ginger beer', 'Kingfisher (beer)', 'Corona (beer)']"
QID120,|-align=center,"['Tobias Krick', 'Typographic alignment', 'CSS Flexible Box Layout', 'Clear aligners', 'American Pie (film series)', 'Gerardo Taracena', 'Sri Pahang FC', 'PNC Arena', 'Kelly Khumalo', 'List of sequence alignment software']"
QID121,|mega,"['Mega', 'Mega-', 'Mega (service)', 'Sega Genesis', 'Mega Man', 'Mega Millions', 'Mega Brands', 'List of Mega Man video games', 'Mega Man (character)', 'KK Mega Basket']"
QID122,el,"['El', 'El Salvador', 'El Paso, Texas', 'El Mahalla El Kubra', 'El Dorado', 'El Faro', 'El Shaddai', '2019 El Paso shooting', 'Algiers', 'El Niño (disambiguation)']"
QID123,cat,"['Cat', 'Cat (disambiguation)', 'Sphynx cat', ""Schrödinger's cat"", 'Cat Stevens', 'Doja Cat', 'Cat the Cat', 'Tabby cat', 'Bengal cat', 'Persian cat']"
QID124,academies,"['Academy', 'United States service academies', 'Academy (English school)', 'Culver Academies', 'National academy', 'National Academies of Sciences, Engineering, and Medicine', 'List of language regulators', 'Segregation academy', 'National Academy of Sciences', 'Academy Awards']"
QID125,bgcolor=,"['HTML', 'Web colors', 'Gerardo Taracena', 'HTML attribute', 'Django Unchained (soundtrack)', 'Silver (color)', 'Programming Language for Business', 'Dynamic HTML', 'W3C Markup Validation Service', 'Vector Markup Language']"
QID126,mustang,"['Mustang', 'Ford Mustang', 'North American P-51 Mustang', 'Shelby Mustang', 'Ford Mustang (first generation)', 'Ford Mustang (sixth generation)', 'Mustang, Texas', 'Ford Mustang (fifth generation)', 'Ford Mustang (fourth generation)', 'Upper Mustang']"
QID127,|alleghany,"['Alleghany Corporation', 'Alleghany County', 'Allegheny Mountains', 'Alleghany County, Virginia', 'Allegheny County, Pennsylvania', 'Allegheny', 'Pachysandra procumbens', 'Alleghany County, North Carolina', 'The Alleghany News', 'Alleghany Springs, Virginia']"
QID128,at,"['AT', 'Austria', 'Tunisia', 'Everything Everywhere All at Once', 'United Kingdom in the Eurovision Song Contest', 'Ernest Hemingway', 'Hilary Duff', '2021 Southeast Asian Games', 'Britney Spears', 'Birth name']"
QID129,boxers,"['Boxing', 'Boxer Rebellion', 'Boxer (dog)', 'Boxers (group)', 'Boxer shorts', 'Boxers and Saints', 'Boxers (disambiguation)', 'Amateur boxing', 'Pacific University', 'List of deaths due to injuries sustained in boxing']"
QID130,||,['Lateral click']
QID131,teacher,"['Teacher', 'Bad Teacher', 'Teacher, Teacher', 'Student teacher', 'A Teacher', 'Teacher education', 'Substitute teacher', 'Itinerant teacher', 'A Teacher (miniseries)', 'Teacher, Teacher (38 Special song)']"
QID132,ready-to-use,"['Therapeutic food', 'Ready-mix concrete', 'Ready-to-wear', 'Meal, Ready-to-Eat', 'Ready to Die', 'Ready', 'Ready or Not', 'VMware Workstation', 'Ready to drink', ""Plumpy'nut""]"
QID133,badenes,"['Badenes', 'Manuel Badenes', 'Elisa Badenes', ""Kepler's Supernova"", 'Daniel Maté', 'Real Valladolid', 'Lionel Messi', 'Cristiano Ronaldo', 'Luis Suárez', 'Bernardo Ferrándiz Bádenes']"
QID134,|,"['Vertical bar', 'Dental click']"
QID135,class=,"['Class', 'Social class', 'Austin-class amphibious transport dock', 'Working class', 'Middle class', 'Character class', 'First-class cricket', 'Class (computer programming)', 'Class conflict', 'Gerald R. Ford-class aircraft carrier']"
QID136,regular,"['Regular', 'Regular expression', 'Regular army', 'Regular polygon', 'Regular language', 'Regular Show', 'Regulares', 'Regular graph', 'Regular grammar', 'Regular polyhedron']"
QID137,allmusic,"['AllMusic', 'Heavy metal music', 'Rock music', 'List of best-selling music artists', 'Hard rock', 'Indie rock', 'Talking Heads', 'Joey Jordison', 'Corey Taylor', 'Industrial music']"
QID138,eglon,"['Eglon (king)', 'Eglon', 'Eglon (Canaan)', 'Eglon van der Neer', 'Ehud', 'Eglon, Washington', 'Ruth (biblical figure)', 'List of biblical names starting with E', 'Eglon, West Virginia', 'Balak']"
